Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L12","4.7µH","TopLayer","TY-NR3015","21.5595","28.8779","90","Ferrite Inductor, Shielded, 1,04A, 144mOhm"
"U27","XC9236","TopLayer","USP-6C","18.4531","28.3195","180","600mA Driver Transistor Built-In, Synchronous Step-Down DC/DC Converters"
"R105","10k","TopLayer","RESC0603X03L_C","26.9394","30.3655","270","Resistor, ±1%, 0.05W"
"R104","10k","TopLayer","RESC0603X03L_C","31.2432","29.6035","90","Resistor, ±1%, 0.05W"
"Q12","TSM2537CQ RFG","TopLayer","DFN65P200X200X80_HS-6N","29.2484","29.9845","0","Dual N & P Ch MOFET, 11.6A/9A, 90mOhm max, 6.25W"
"R54","1M0","TopLayer","RESC0603X03L_C","100.1776","26.8732","90","Resistor, ±1%, 0.05W"
"U12","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","98.5774","27.3812","180","Low-ohmic four-pole double-throw analog switch"
"U13","PCAL6408A","TopLayer","XQFN40P180X260X50-16N","103.7844","32.0802","0","8-bit I2C-bus I/O expander with interrupt output"
"R62","18k","TopLayer","RESC0603X03L_C","100.3300","30.4292","180","Resistor, ±1%, 0.05W"
"R68","0R","TopLayer","RESC0603X03L_C","103.6828","34.5186","270","Resistor, ±5%, 0.05W"
"R60","18k","TopLayer","RESC0603X03L_C","100.3300","31.9024","180","Resistor, ±1%, 0.05W"
"R67","N.C.","TopLayer","RESC0603X03L_C_NC","103.0986","34.5186","90","Not mounted"
"R58","18k","TopLayer","RESC0603X03L_C","100.3300","33.3756","180","Resistor, ±1%, 0.05W"
"R56","18k","TopLayer","RESC0603X03L_C","100.3300","34.8488","180","Resistor, ±1%, 0.05W"
"R61","100k","TopLayer","RESC0603X03L_C","97.3582","29.7942","90","Resistor, ±1%, 0.05W"
"R59","100k","TopLayer","RESC0603X03L_C","96.7740","30.2514","270","Resistor, ±1%, 0.05W"
"R57","100k","TopLayer","RESC0603X03L_C","97.3582","31.0896","90","Resistor, ±1%, 0.05W"
"R55","100k","TopLayer","RESC0603X03L_C","96.7740","31.4960","270","Resistor, ±1%, 0.05W"
"R66","12k","TopLayer","RESC0603X03L_C","102.5144","34.5186","90","Resistor, ±1%, 0.05W"
"R65","12k","TopLayer","RESC0603X03L_C","105.7910","32.2326","0","Resistor, ±1%, 0.05W"
"R64","4k7","TopLayer","RESC0603X03L_C","105.7910","33.0454","0","Resistor, ±1%, 0.05W"
"R63","4k7","TopLayer","RESC0603X03L_C","105.7910","33.8582","0","Resistor, ±1%, 0.05W"
"D4","CFSH05-20L","TopLayer","SODFL35X40-2N","100.3300","29.6926","0","DIODE SCHOTTKY 20V 500MA SOD882"
"D3","CFSH05-20L","TopLayer","SODFL35X40-2N","100.3300","31.1658","0","DIODE SCHOTTKY 20V 500MA SOD882"
"D2","CFSH05-20L","TopLayer","SODFL35X40-2N","100.3300","32.6390","0","DIODE SCHOTTKY 20V 500MA SOD882"
"D1","CFSH05-20L","TopLayer","SODFL35X40-2N","100.3300","34.1122","0","DIODE SCHOTTKY 20V 500MA SOD882"
"C56","1.0µF","TopLayer","CAPC0603X03L_C","101.2698","34.2392","90","Capacitor, X5R, ±10%"
"C57","1.0µF","TopLayer","CAPC0603X03L_C","101.2698","32.7660","270","Capacitor, X5R, ±10%"
"C58","1.0µF","TopLayer","CAPC0603X03L_C","101.2698","31.2928","270","Capacitor, X5R, ±10%"
"C59","1.0µF","TopLayer","CAPC0603X03L_C","101.2698","29.8196","270","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","104.2670","34.5186","270","Capacitor, X5R, ±10%"
"C54","100nF","TopLayer","CAPC0603X03L_C","98.3742","25.2730","0","Capacitor, X5R, ±10%"
